year,period,value,updated_at
2013,M04,224.205,2025-01-30T00:00:00Z
2013,M05,217.511,2025-01-30T00:00:00Z
2013,M06,219.841,2025-01-30T00:00:00Z
2013,M07,218.907,2025-01-30T00:00:00Z
2013,M08,219.527,2025-01-30T00:00:00Z
2013,M09,222.447,2025-01-30T00:00:00Z
2013,M10,224.875,2025-01-30T00:00:00Z
2013,M11,232.112,2025-01-30T00:00:00Z
2013,M12,239.794,2025-01-30T00:00:00Z
2014,M01,237.216,2025-01-30T00:00:00Z
2014,M02,238.832,2025-01-30T00:00:00Z
2014,M03,243.859,2025-01-30T00:00:00Z
2014,M04,244.994,2025-01-30T00:00:00Z
2014,M05,239.417,2025-01-30T00:00:00Z
2014,M06,238.748,2025-01-30T00:00:00Z
2014,M07,238.942,2025-01-30T00:00:00Z
2014,M08,240.868,2025-01-30T00:00:00Z
2014,M09,241.285,2025-01-30T00:00:00Z
2014,M10,239.846,2025-01-30T00:00:00Z
2014,M11,246.497,2025-01-30T00:00:00Z
2014,M12,265.375,2025-01-30T00:00:00Z
2015,M01,256.599,2025-01-30T00:00:00Z
2015,M02,259.024,2025-01-30T00:00:00Z
2015,M03,256.850,2025-01-30T00:00:00Z
2015,M04,250.376,2025-01-30T00:00:00Z
2015,M05,246.821,2025-01-30T00:00:00Z
2015,M06,290.829,2025-01-30T00:00:00Z
2015,M07,298.494,2025-01-30T00:00:00Z
2015,M08,325.985,2025-01-30T00:00:00Z
2015,M09,328.540,2025-01-30T00:00:00Z
2015,M10,311.713,2025-01-30T00:00:00Z
2015,M11,304.898,2025-01-30T00:00:00Z
2015,M12,304.654,2025-01-30T00:00:00Z
2016,M01,274.002,2025-01-30T00:00:00Z
2016,M02,274.583,2025-01-30T00:00:00Z
2016,M03,258.547,2025-01-30T00:00:00Z
2016,M04,240.683,2025-01-30T00:00:00Z
2016,M05,226.320,2025-01-30T00:00:00Z
2016,M06,212.651,2025-01-30T00:00:00Z
2016,M07,211.870,2025-01-30T00:00:00Z
2016,M08,202.352,2025-01-30T00:00:00Z
2016,M09,205.005,2025-01-30T00:00:00Z
2016,M10,200.941,2025-01-30T00:00:00Z
2016,M11,203.227,2025-01-30T00:00:00Z
2016,M12,201.569,2025-01-30T00:00:00Z
2017,M01,220.813,2025-01-30T00:00:00Z
2017,M02,209.845,2025-01-30T00:00:00Z
2017,M03,202.193,2025-01-30T00:00:00Z
2017,M04,202.723,2025-01-30T00:00:00Z
2017,M05,193.459,2025-01-30T00:00:00Z
2017,M06,191.313,2025-01-30T00:00:00Z
2017,M07,191.698,2025-01-30T00:00:00Z
2017,M08,194.898,2025-01-30T00:00:00Z
2017,M09,200.450,2025-01-30T00:00:00Z
2017,M10,211.314,2025-01-30T00:00:00Z
2017,M11,209.723,2025-01-30T00:00:00Z
2017,M12,225.020,2025-01-30T00:00:00Z
2018,M01,226.224,2025-01-30T00:00:00Z
2018,M02,231.965,2025-01-30T00:00:00Z
2018,M03,235.107,2025-01-30T00:00:00Z
2018,M04,249.780,2025-01-30T00:00:00Z
2018,M05,235.201,2025-01-30T00:00:00Z
2018,M06,218.292,2025-01-30T00:00:00Z
2018,M07,223.775,2025-01-30T00:00:00Z
2018,M08,223.500,2025-01-30T00:00:00Z
2018,M09,220.666,2025-01-30T00:00:00Z
2018,M10,217.297,2025-01-30T00:00:00Z
2018,M11,217.225,2025-01-30T00:00:00Z
2018,M12,220.112,2025-01-30T00:00:00Z
2019,M01,218.796,2025-01-30T00:00:00Z
2019,M02,218.185,2025-01-30T00:00:00Z
2019,M03,216.250,2025-01-30T00:00:00Z
2019,M04,208.727,2025-01-30T00:00:00Z
2019,M05,198.552,2025-01-30T00:00:00Z
2019,M06,191.161,2025-01-30T00:00:00Z
2019,M07,192.124,2025-01-30T00:00:00Z
2019,M08,187.986,2025-01-30T00:00:00Z
2019,M09,202.825,2025-01-30T00:00:00Z
2019,M10,198.374,2025-01-30T00:00:00Z
2019,M11,200.008,2025-01-30T00:00:00Z
2019,M12,213.421,2025-01-30T00:00:00Z
2020,M01,208.788,2025-01-30T00:00:00Z
2020,M02,209.359,2025-01-30T00:00:00Z
2020,M03,212.876,2025-01-30T00:00:00Z
2020,M04,244.826,2025-01-30T00:00:00Z
2020,M05,225.315,2025-01-30T00:00:00Z
2020,M06,214.368,2025-01-30T00:00:00Z
2020,M07,206.072,2025-01-30T00:00:00Z
2020,M08,201.312,2025-01-30T00:00:00Z
2020,M09,202.968,2025-01-30T00:00:00Z
2020,M10,205.772,2025-01-30T00:00:00Z
2020,M11,208.656,2025-01-30T00:00:00Z
2020,M12,210.186,2025-01-30T00:00:00Z
2021,M01,210.553,2025-01-30T00:00:00Z
2021,M02,218.460,2025-01-30T00:00:00Z
2021,M03,222.874,2025-01-30T00:00:00Z
2021,M04,223.098,2025-01-30T00:00:00Z
2021,M05,217.353,2025-01-30T00:00:00Z
2021,M06,216.428,2025-01-30T00:00:00Z
2021,M07,217.736,2025-01-30T00:00:00Z
2021,M08,221.234,2025-01-30T00:00:00Z
2021,M09,228.603,2025-01-30T00:00:00Z
2021,M10,229.610,2025-01-30T00:00:00Z
2021,M11,225.386,2025-01-30T00:00:00Z
2021,M12,233.555,2025-01-30T00:00:00Z
2022,M01,238.225,2025-01-30T00:00:00Z
2022,M02,243.365,2025-01-30T00:00:00Z
2022,M03,247.902,2025-01-30T00:00:00Z
2022,M04,273.464,2025-01-30T00:00:00Z
2022,M05,287.261,2025-01-30T00:00:00Z
2022,M06,288.109,2025-01-30T00:00:00Z
2022,M07,300.515,2025-01-30T00:00:00Z
2022,M08,309.183,2025-01-30T00:00:00Z
2022,M09,298.220,2025-01-30T00:00:00Z
2022,M10,328.423,2025-01-30T00:00:00Z
2022,M11,336.064,2025-01-30T00:00:00Z
2022,M12,373.379,2025-01-30T00:00:00Z
2023,M01,405.153,2025-01-30T00:00:00Z
2023,M02,378.199,2025-01-30T00:00:00Z
2023,M03,337.068,2025-01-30T00:00:00Z
2023,M04,332.046,2025-01-30T00:00:00Z
2023,M05,286.210,2025-01-30T00:00:00Z
2023,M06,265.399,2025-01-30T00:00:00Z
2023,M07,259.462,2025-01-30T00:00:00Z
2023,M08,252.907,2025-01-30T00:00:00Z
2023,M09,255.116,2025-01-30T00:00:00Z
2023,M10,255.489,2025-01-30T00:00:00Z
2023,M11,261.105,2025-01-30T00:00:00Z
2023,M12,284.388,2025-01-30T00:00:00Z
2024,M01,289.400,2025-01-30T00:00:00Z
2024,M02,313.792,2025-01-30T00:00:00Z
2024,M03,314.270,2025-01-30T00:00:00Z
2024,M04,302.090,2025-01-30T00:00:00Z
2024,M05,294.913,2025-01-30T00:00:00Z
2024,M06,292.475,2025-01-30T00:00:00Z
2024,M07,309.048,2025-01-30T00:00:00Z
2024,M08,323.929,2025-01-30T00:00:00Z
2024,M09,356.190,2025-01-30T00:00:00Z
2024,M10,333.047,2025-01-30T00:00:00Z
2024,M11,359.058,2025-01-30T00:00:00Z
2024,M12,389.077,2025-01-30T00:00:00Z
